BNS Sections,IPC Sections,IPC Description
324,425,425.Mischief.
324(2),426,426.Punishment for mischief.
324(3),New,New Sub- Section
324(4),427,"427.Mischief causing damage to the amount of fifty
rupees."
324(5),New,New Sub-Section
324(6),440,440.Mischief committed after preparation made for causing death or hurt.
325,428,"428. Mischief  by  killing  or  maiming  animal  of  the
value of ten rupees."
,429,"429.Mischief by killing or maiming cattle, etc., of any
value or any animal of the value of fifty rupees."
326,430,430. Mischief  by  injury  to  works  of  irrigation  or  by wrongfully diverting water.
326(b),431,"431.Mischief by injury to public road, bridge, river or
channel."
326(c),432,"432.Mischief by causing inundation or obstruction to
public drainage attended with damage."
326(d),433,"433.Mischief by destroying, moving or rendering less useful a light-house or sea-mark."
326(e),434,"434. Mischief  by  destroying  or  moving,  etc.,  a  land-
mark fixed by public authority."
326(f),435,435. Mischief  by  fire  or  explosive  substance  with intent to cause damage to amount of one hundred or(in case of agricultural produce) ten rupees.
326(g),436,"436. Mischief  by  fire  or  explosive  substance  with
intent to destroy house, etc."
327,437,437.Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden.
327(2),438,"438.Punishment   for   the   mischief   described   in section    437    committed    by    fire    or    explosive
substance."
328,439,"439.Punishment   for   intentionally   running   vessel
aground or ashore with intent to commit theft, etc."
329,441,441.Criminal trespass.
329(2),442,442.House-trespass.
329(3),447,447.Punishment for criminal trespass.
329(4),448,448.Punishment for house-trespass.
330,443,443.Lurking house-trespass.
Deleted,444,444.Lurking house-trespass by night.
330(2),445,445.House-breaking.
Deleted,446,446.House-breaking by night.
331,453,453.Punishment for lurking house-trespass or house- breaking.
331(2),456,456.Punishment for lurking house-trespass or house- breaking by night.
331(3),454,"454.Lurking   house-trespass   or   house-breaking   in order     to     commit     offence     punishable     with
imprisonment."
331(4),457,457. Lurking  house-trespass  or  house-breaking  by night  in  order  to  commit  offence  punishable  with imprisonment.
331(5),455,"455. Lurking  house-trespass  or  house-breaking  after
preparation for hurt, assault or wrongful restraint."
331(6),458,"458. Lurking  house-trespass  or  house-breaking  by night after preparation for hurt, assault, or wrongful
restraint."
331(7),459,"459.Grievous hurt caused whilst committing lurking
house-trespass or house-breaking."
331(8),460,"460. All  persons  jointly  concerned  in  lurking  house- trespass   or   house-breaking   by   night   punishable
where death or grievous hurt caused by one of them."
332,449,"449.House-trespass   in   order   to   commit   offence
punishable with death."
332(b),450,"450.House-trespass   in   order   to   commit   offence
punishable with imprisonment for life."
332(c),451,"451.House-trespass   in   order   to   commit   offence
punishable with imprisonment."
333,452,"452.House-trespass   after   preparation   for   hurt,
assault or wrongful restraint."
334,461,461.Dishonestly breaking open receptacle containing property.
334(2),462,"462.Punishment for same offence when committed
by person entrusted with custody."
335,464,464.Making a false document.
336,463,463.Forgery.
336(2),465,465.Punishment for forgery.
336(3),468,468.Forgery for purpose of cheating.
336(4),469,469.Forgery for purpose of harming reputation.
337,466,"466.Forgery of record of Court or of public register,
etc."
338,467,"467.Forgery of valuable security, will, etc."
339,474,"474. Having  possession  of  document  described  in section  466  or  467,  knowing  it  to  be  forged  and
intending to use it genuine."
340,470,470.Forged document or electronic record.
340(2),471,"471.Using   as   genuine   a   forged   document   or
electronic record."
341,472,"472.Making or possessing counterfeit seal, etc., with intent  to  commit  forgery  punishable  under  section 467."
341(2),473,"473.Making or possessing counterfeit seal, etc., with
intent to commit forgery punishable otherwise."
341(3),New,New Sub-Section
341(4),New,New Sub-Section
342,475,"475. Counterfeiting    device    or    mark    used    for authenticating  documents  described  in  section  467, or possessing counterfeit marked material."
342(2),476,"476. Counterfeiting    device    or    mark    used    for authenticating     documents     other     than     those described  in  section  467,  or  possessing  counterfeit
marked material."
343,477,"477.Fraudulent   cancellation,   destruction,   etc.,   of
will, authority to adopt, or valuable security."
344,477A,477A.Falsification of accounts.
345,479,479.Property mark.
345(2),481,481.Using a false property mark.
345(3),482,482.Punishment for using a false property mark.
346,489,"489. Tampering  with  property  mark  with  intent  to
cause injury."
347,483,483.Counterfeiting a property mark used by another.
347(2),484,484.Counterfeiting a mark used by a public servant.
348,485,"485. Making  or  possession  of  any  instrument  for
counterfeiting a property mark."
349,486,"486. Selling    goods    marked    with    a    counterfeit
property mark."
350,487,487.Making   a   false   mark   upon   any   receptacle containing goods.
350(2),488,"488. Punishment  for  making  use  of  any  such  false
mark."
351,503,503.Criminal intimidation.
"351(2),",506,506.Punishment for criminal intimidation.
351(4),507,507. Criminal    intimidation    by    an    anonymous communication.
352,504,"504.Intentional insult with intent to provoke breach
of the peace."
353,505,505.Statements conducing to public mischief
354,508,"508.Act caused by inducing person to believe that he
will be rendered an object of the Divine displeasure."
355,510,510.Misconduct in public by a drunken person.
356,499,499.Defamation.
356(2),500,500.Punishment for defamation.
356(3),501,"501.Printing   or   engraving   matter   known   to   be
defamatory."
356(4).,502,502. Sale    of    printed    or    engraved    substance containing defamatory matter.
357,491,491. Breach  of  contract  to  attend  on  and  supply wants of helpless person.
358,New,New Section
Deleted,309,309.“Attempt to commit suicide”.
Deleted,310,310.“Thug”.
Deleted,311,311.“Punishment”.
