BNS Sections,IPC Sections,IPC Description
59,119,"119.Public   servant   concealing   design   to   commit
offence which it is his duty to prevent."
60,120,120.Concealing design to commit offence punishable
61,120A,120A.Definition of criminal conspiracy.
61(2),120B,120B.Punishment of criminal conspiracy.
62,511,"511.Punishment for attempting to commit offences punishable   with   imprisonment   for   life   or   other
imprisonment."
63,375,375.Rape.
64,376,376.Punishment for rape.
65,376(3),376(3)
65(2),376AB,"376AB.Punishment for rape on woman under twelve
years of age."
66,376A,"376A. Punishment  for  causing  death  or  resulting  in
persistent vegetative state of victim."
67,376B,"376B. Sexual  intercourse  by  husband  upon  his  wife
during separation."
68,376C,376C.Sexual intercourse by a person in authority.
69,New,New Section
70,376D,376D.Gang rape.
70(2)(Gang,376DA,"376DA.Punishment  for  gang  rape  on  woman  under sixteen years of age.
376DB. Punishment  for  gang  rape  on  woman  under twelve years of age."
71,376E,376E.Punishment for repeat offenders.
Deleted,377,377.Unnatural Offences
72,228A,"228A. Disclosure  of  identity  of  the  victim  of  certain offences, etc."
73,228A(3),228A(3)
Of,Of,Of criminal force and assault
74,354,"354. Assault or  criminal force to  woman  with  intent
to outrage her modesty."
75,354A,"354A.Sexual harassment and punishment for sexual
harassment."
76,354B,"354B.Assault or use of criminal force to woman with
intent to disrobe."
77,354C,354C.Voyeurism.
78,354D,354D.Stalking
79,509,"509. Word,  gesture  or  act  intended  to  insult  the
modesty of a woman."
80,304B,304B.Dowry death.
,CHAPTER,"CHAPTER XX
OF OFFENCES RELATING TO MARRIAGE"
81,493,"493.Cohabitation   caused   by   a   man   deceitfully
inducing a belief of lawful marriage."
82,494,494. Marrying  again  during  lifetime  of  husband  or wife.
82(2),495,"495.Same   offence   with   concealment   of   former marriage    from    person    with    whom    subsequent
marriage is contracted."
83,496,"496. Marriage  ceremony  fraudulently  gone  through
without lawful marriage."
Deleted,497,497.Adultery
84,498,498.Enticing   or   taking   away   or   detaining   with criminal intent a married woman.
,CHAPTER,"CHAPTER XXA
CRUELTY BY HUSBAND OR RELATIVES OF HUSBAND"
85,498A,498A. Husband  or  relative  of  husband  of  a  woman subjecting her to cruelty.
86,498A,498A.Explanation
,CHAPTER,"CHAPTER XVI
OF OFFENCES AFFECTING THE HUMAN BODY
Of    Kidnapping,   Abduction,   Slavery   and   Forced Labour"
87,366,"366. Kidnapping,  abducting  or  inducing  woman  to
compel her marriage, etc."
88,312,312.Causing miscarriage.
89,313,313.Causing miscarriage without woman's consent.
90,314,"314.Death caused by act done with intent to cause
miscarriage."
91,315,"315.Act done with intent to prevent child being born
alive or to cause it to die after birth."
92,316,"316. Causing  death  of  quick  unborn  child  by  act
amounting to culpable homicide."
93,317,"317.Exposure   and   abandonment   of   child   under twelve years, by parent or person having care of it."
94,318,"318.Concealment of birth by secret disposal of dead
body."
95,New,New Section
96,366A,366A.Procuration of minor girl.
97,369,369. Kidnapping  or  abducting  child  under  ten  years
98,372,"372.Selling minor for purposes of prostitution, etc."
99,373,"373.Buying minor for purposes of prostitution, etc."
100,299,299.Culpable homicide
101,300,300.Murder.
102,301,"301. Culpable  homicide  by  causing  death  of  person
other than person whose death was intended."
103,302,302.Punishment for murder.
104,303,303.Punishment for murder by life-convict.
105,304,"304.  Punishment     for     culpable     homicide     not
amounting to murder."
106,304A,304A.Causing death by negligence.
106(2),New,New Sub-Section
107,305,305.Abetment of suicide of child or insane person.
108,306,306.Abetment of suicide.
109,307,307.Attempt to murder.
110,308,308.Attempt to commit culpable homicide.
111,New,New Section
112,New,New Section
113,New,New Section
114,319,319.Hurt
